text,label
ننتو گاییدم سپاهی بیشرف تف تو ذات حکومت ملاشاهی#_on__list#_gainst_umanights#_spy_organization#errorists#ranarchism,"0. 0. 0. 0. 0. 0. 0. 0. 1. 1.
"
هر جریانی یک بخش مصرفی دارد ،هنر هم از این امر مستثنی نیست ،مهمترین موضوع این است نگذاریم جریان های مصرفی و مبتذل همه فضا را بگیردموسیقی پاپ مصرفی است و مخاطب دارد ،نمیشود آن را حذف کرد اما نباید گذاشت همه فضا را مصادره کندسینما هم همین است,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
منم همیشه برنامه مینویسم خودش ۱ روز طول میکشه و دیگه نمیرسه بهش😂,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
که طبیعی جلوه کنه ملت باور کنن,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
اوهوم اون باخته چون میتونست یه عشق واقعی رو با من تجربه کنه 🙂من این عشق رو به هرکسی نمیدم تو دلم جاش خاص بود خودش خواست که دیگه جاش اونجا نباشه منتظر میمونم تا یکی بیاد که قدر اونجای خاص قلبمو بدونه ❤️🙂,"0. 0. 1. 0. 0. 0. 0. 0. 0. 0.
"
من که پرنده ها سرمو با جای دیگه اشتباه میگیرن ، اینکه میبینین موهام پرپشت شده برا همینه 😂,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
شما تهران رو نبين، شهرستانا همه سروش نصب كردن,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
مرسی کامیاب، اینکه چوبکاریه، دمت گرم، تو خودت کارت درسته حسابی و این لطفته به من👍❤️👏💪من خیلی اذیتت کردم، مخصوصاً آخریا، میدونم که میبخشی☺️😅🙈رفیقی و من برات بهترین‌هارو کنار جاباما و هرجایی که هستی آرزو دارم.خوب باشی یه عالمه💋👏👍,"0. 1. 0. 0. 1. 0. 0. 0. 0. 0.
"
#علیرضا_جهانبخش تو #تیم_ملی منُ یاد کیانوش تو #شب_های_برره میندازه...#جام_جهانی#گروه_مرگ#لیست_خودکشی,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
این لینک‌دین هم تا کونیمون نکنه ول کن نیسمن غلط کنم عمر بشناسم,"0. 0. 0. 1. 0. 0. 0. 0. 0. 1.
"
عبداله زاده ٢سال گذشته به استخدام سازمان اطلاعات سپاه در آمده و ٨ ماه پیش بعنوان پوشش فعالیت های سایبری توسط سازمان اطلاعات سپاه به کانادا رفتهوی در پوشش شرکت کانادایی بر خلاف قوانین جهت دور زدن تحریم ها با شرکت های وابسته به سپاه بصورت مستقیم وارد قرارداد شده ومشغول کاور کردن,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
-ماشینت بوی دریا میده+ماهی خریده بودم-ماهی مرده که بوی دریا نمیده+هرچیزی موقع مرگ بوی اونجایی رو میده که دلتنگشه+من بمیرم بوی تورو میدم!,"0. 0. 1. 0. 0. 0. 0. 0. 0. 0.
"
اگه میخواین یه تغییر در استایل و سبک زندگیتون بدین #4 بخرین واقعا زندگیهههه,"0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
"
حیف معتمدی.. به نظرم اعتبار خودشو با صدا‌و‌سیما خراب کرد.,"0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
"
اونقدر حالم بده که اگه بهم بگن هفت بار سرمو محکم بکوبم به ديوار خوب مي‌شه، حتما اين کارو مي‌کنم. دارم مي‌فهمم بعضي از خرافات از کجا اومدن.,"0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
"
چه جمله وحشت ناکی. تو جزوه بود این ؟!,"0. 0. 0. 0. 0. 1. 0. 1. 0. 0.
"
حس کردم دارم مصاحبه های جاست رو گوش میدم 🥺خیلی خوب بود اصلا 😻,"0. 0. 0. 1. 1. 0. 0. 0. 0. 0.
"
دکتر شریعتی:اسلام را نگاه کنید، درهمان بیست سال اول به اندازه ای چهره های درخشان طلوع می کند که در هزار سال ایران باستانی هرچه می گردی یکیش را نمی یابی!ناصرپورپیرارتوده ای: تخت جمشید مجموعه حقیره وقابل اعتنا نیستامروز #خامنه‌ای هخامنشی واهی ستتوده ای وآخوند هردو دشمن وطن,"0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
"
به جای اینکه کفشتو با لباست ست کنی حرفتو با عملت ست کن ...,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
10 گیگ دانلود کردم هنوز 18 گیگ مونده :/تا فردا طول میکشه فکر کنم,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
هنرمندارو هم نمیشناسیم خدایا کجا میبری مارو با این کشتیه شکسته,"0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
"
کلا مازندران همه چیزش جوابه😍😍😍😍😍,"0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
"
استرس دارم،اه اه اه زندگي ميكنيم اخه,"0. 0. 0. 0. 0. 0. 0. 1. 0. 0.
"
اره اگه اینطوری تلقین کنی به خودت دهنت صاف میشه,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
بکیرم که بکیرمم بکیرته,"0. 0. 0. 0. 0. 0. 0. 0. 1. 1.
"
ال نیر و ملو همه لایق مرگن پس برای من فرق نمیکنه همشون تویه دستن,"0. 0. 0. 1. 0. 0. 0. 0. 0. 1.
"
قضاوت نکنین شاید به زور قاشق داغ چسبوندن به پیشونیش:/,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
وای کمپانی جی ام چقد خفنه😁کاش جونمیون بیاد بگه یه کمپانی داره و تا الان مخفیش کرده😬😂,"0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
"
پـروردگـــــارااگرباعـث آزردگیِ کسی شدمبه من قدرتِ عذرخواهیبدهواگردیگـران مراآزردندبـه منقـدرتِ بخشـش بده,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
فکر کردن، همیشه هم خوب نیست.,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
کسی قصد نداره بیاد با من آش بخوره؟,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
موزیکای جاوید افسری راد,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
تا وقتی ی عده عوضی با پارتی میان بالا وضع همینه ،بدتر هم میشه ...,"0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
"
#امام_جعفر_صادق فرمود:ﺍﯼ #ﺷﯿﻌﯿﺎﻥ ، ﺷﻤﺎ ﺑﻪ ﻣﺎ ﻣﻨﺴﻮﺏ ﻫﺴﺘﯿﺪ، ﭘﺲ ﻣﺎﯾﻪ #ﺯﯾﻨﺖ ﻣﺎ ﺑﺎﺷﯿﺪ ﻧﻪ ﻣﺎﯾﻪ #ﺁﺑﺮﻭﺭﯾﺰﯼ ﻣﺎ!با هشتگ #برای_اهل_بیت_زینت_باشیممیخوام شروع کنم به انتقاد به شیعیان شناسنامه ای. اگه پایه این بسم الله!,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
افطار آخر....😊با حضور حسن روحانی، جمشید مشایخی، ستاره اسکندری، فاطمه معتمد آریا، قلقلی، آزاده جون با آبجوی سویسی و ...,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
در کمال تاسف گروه حامیان سپید مشهد یکی از اعضای فعال و حامیان دلسوزش رواز دست داد.درگذشت آقای جلال خلیلیان رو به خانواده محترم و مخصوصا خانم دهقان که مدتها با هم همکاری می کردند تسلیت میگیم.,"0. 0. 0. 0. 1. 0. 1. 0. 0. 0.
"
حانوم گلی، رود قشنگم الهی که من فدای وجودت بشم بانو، فردا ۱۳ فروردین هست و چشم انتظار بانو خانوم هستم. تصدقت الهی نور دیده ام. دوست دارم روز تولدم با شنیدن صدای بانوی بهشتیم دیگه جهنم نباشه. زندگی ی منی شما. از طرف کسی که ۷ ماه هست منتظر لبخند زیبای توست,"0. 0. 1. 1. 0. 0. 0. 0. 0. 0.
"
من حرف ديگه اي ندارم پس,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
اقا اصلا هر چیکلا با خوردنی مشکل دارهگندم میخوری میخوری پرتت میکنه زمیناز همون گندم الکل میگیری میخوری پرتت میکنه جهنماسیر شدیم بخدا,"0. 0. 0. 1. 0. 0. 0. 0. 0. 1.
"
🔴 #اعتراض‌ کارگران تراورس راه آهن شاهرود سه شنبه هم ادامه یافت. آنها به پرداخت نشدن دستمزد خود اعتراض دارند.🆔 @edalatxah,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
😁😁خوب به نظر منطقی تر نمیاد خودش درست کنه؟,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
خو همینو به صراحت بش بگو😐,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
من فارغ‌التحصیل ۸۳ هستم و همه دوران تحصیل من دانشگاه الزهرا همینطور بود,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
هر کی این جاکشو میبینه مشقلوم زمبه منه که بهش یه گوه نخور محکم نگه,"0. 0. 0. 0. 0. 0. 0. 0. 1. 0.
"
بعضی شبا خیلی طولانی میگذرن و زود صبح نمیشن... امشبم از همون شباس... کُلی فکر و خیال تو سَرم میگذره که منتظره کوچیک ترین تلنگرن تا از راهِ چشام بریزن بیرون....#میم_ر#حرف_دل,"0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
"
نوبت نوبت ان میزنن به علایقمون🤣,"0. 1. 0. 0. 0. 0. 0. 0. 0. 1.
"
روی خوش ماجراست و اما دیگر: #میجنگیم_میمیریم_ایران_را_پس_میگیریم,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
منم دارم میگم باید بهش میگفتیخب دروغ نگومجبوری مگه؟,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
اگر مقاله‌ای مستند در مورد دستاوردهای اقتصادی ترامپ در این مدت در اختیار دارید ترجیحا انگلیسی ممنون میشم معرفی کنید. مطالبی هم که نوشتید جالب و جذاب بود.,"0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
"
یا رب تو چنان کن که پریشان نشوممحتاج برادران و خویشان نشومبی منت خلق خود مرا روزی دهتا از در تو بر در ایشان نشوم,"0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
"
فدات بشم مرسی تو هم که میدونی,"0. 1. 0. 0. 1. 0. 0. 0. 0. 0.
"
چه خوبه طرفدار تیمی هستم که تو اسطوره ش هستی ناصرخان حجازی💙💙💙💙#استقلال,"0. 0. 0. 1. 1. 0. 0. 0. 0. 0.
"
شاید تهش خورشید باشه,"0. 1. 0. 0. 0. 0. 0. 0. 0. 0.
"
اينكه بصورت يكدست و همه باهم به خانوم فراهانى حمله ميكنيد خودش نشونه ناراحتى شماها از افشاى واقعياته اگر كشور براى شماها مزدورها مهم بود براى چند دقيقه به حرفهاى بقيه گوش ميداديد ننگ بر شما,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
منم امتحان ریاضی دارم,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
تا جایی که به یاد دارم در هر مدرسه ای درس خوندم، یکی دو تا معلم و ناظم بودن که مشهور بودن به سواستفاده جنسی و این امر در مدارس پسرانه شایع بود و کم نبودن بچه هایی که تو محیط خشن مدارس پسرانه مورد آزار جنسی برخی معلما و کادرا و بچه های بزرگ تر قرار میگرفتن. #تجاوز_به_دانش_آموزان,"0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
"
خلاصه‌ی جامعه‌ی توییتر فارسی در یک توییت: من توانایی شاد بودن ندارم و هنر زندگی نیاموخته‌ام، پس حداقل این غمم رو با یک برتری نسبت به دیگران متناظر بکنم.حقیر، کوته‌بین و درمانده.,"0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
"
کل قبیله تون رو جمع کنند یک تار موی ریف نمی‌شین. اصلا مقایسه ظریف با نخودمغزهای غارتگر مثل مقایسه عقاب با کلاغهای لجنخواره.,"0. 0. 0. 0. 1. 0. 0. 0. 0. 1.
"
یه آمپول زدم دردش از درد قبلیم بیشتر بود😐🤦🏻‍♂️ اروم بزن حیوااان,"0. 0. 0. 0. 0. 0. 1. 0. 1. 0.
"
پشمات نریزه 😜میری اونجا جنس خوب میدن دستت😈اگه خوب نبود تو بده دستشون😂😂🤦‍♂️🤪,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
اون اتفاق ها میگذره این تجربه های تلخ ازار دهنده است و هنوزم اگه وارد رابطه ای بشم اون ترس اجازه دادن به پارتنرم برای نزدیک شدن بهم در من نهفته است،کاش کسایی که واسه لحظه ای لذت خودشون با بچه ها و جوونا این کارارو میکنن بفهمن چطور دارن با اینده ی افراد بازی میکنن #eoo,"0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
"
یعنی به خاطر زشت بودنم نیست؟😃😃,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
همشیرع،شماخاک اندازهم نیستی چه برسه به😚,"0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
"
خوب میکنی 😂😂ولی چطوری تو ایران میتونی درس بخونی آخه؟ من عمراً بتونم.,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
آگاهان سیاسی: «زنگ ورزش و نرمش» برای معظم بصدا در امددیگرفرصتی برای مشاهده «کارتون تام و جری» نیست,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
يس من دنبال چيزاى ريسكى نيستم يه كار پايدار با سود خوب قابل كنترل و پيشبينى,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
"#آری_به_جمهوری_دمکراتیک با درخشش یگانه آلترناتیو دمکراتیک, شورای ملی مقاومت #ایران برهبری خانم #مریم_رجوی aster esus openhagen ondon","0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
"
اووووووووووف نیشش تا بناگوش باز شده مردک حش...........,"0. 0. 0. 0. 0. 0. 0. 0. 1. 1.
"
آن دوست ک من دارمآن یار ک من دانمشیرین دهنی دارددور از لب و دندانموقتی نکند با من کان شاخ صنوبر رابنشینم و بنشانمگل بر سرش افشانمای روی دل آرایتمجموعه‌ ی زیباییمجموع چه غم دارداز من ک پریشانم,"0. 0. 1. 0. 0. 0. 1. 0. 0. 0.
"
ایران یک صدا: #نه_به_جمهوری_اسلامی 👊✊,"0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
"
آره دقیقا شوکه شدم منم خیلی دوس دارم فصل دو بیاد داستان جدید و جذابی داره,"0. 0. 0. 1. 1. 0. 0. 0. 0. 0.
"
ادم یه مدت بیکار میشه تازه متوجه میشه که سر کار رفتن چه امر تخمی است,"0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
"
اقای فتوره‌چی کاری به این قضایا ندارم، اما اگه به من بگن با این فیگور شغل شما چیه و درامدتون از کجاست، اخرین چیزی که به فکرم میرسهمشاور تبلیغات ایرانسله.نمک خوردن و نمکدان شکستن!!,"0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
"
کمی زیباتر نگاه کنین به مسئله :)چرا وسیله؟ انسانها برای زیباتر شدن جهان آفریده شدن :) اول باطن بعد ظاهر زیبا ؛ ما وسیله نیستیم اما وظیفه داریم زیبا باشیم &amp;),"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
تا حالا شده از چیزی ناامید بشین اما همچنان بش فکر کنین و اینکه چه تغییراتی میتونست تو زندگیتون ایجاد کنه؟ تو چنین شرایطی گیر کردم!😐,"0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
"
نه اینجا فوکوس رو موی روی دماغه😂,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
کص تنگ باشه ابت زود میاد باس گشاد باشه ابت دیر بیاد,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
کی اینا راست گفتن که نوبت ایندفعه باشه!,"0. 0. 0. 0. 0. 0. 0. 0. 1. 0.
"
براشون متاسفم واقعا،😑😑واااااقعا دلم سوخت.با این وضعیت چیکار میکنی پس؟ 😢,"0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
"
کاش اینطوری پیش نمیرفت.,"0. 0. 0. 1. 0. 0. 1. 0. 0. 0.
"
آدم یکیو دوس داشته باشه حس جنسیش بهش کمتز میشه؟ :|,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
آلت خر تو کل همین زیر ساختاایی که داری ازش حرف میزنی:|وقتی که دسترسی و ازادی ب درک...سرعت همین نتو خود شما دیدی؟!دیگی که برا من نجوشه میخوام سر سگ توش بجوشه.اول یا آخر دنیا شدنش چه سودی به حال من کاربر داره ؟منی که دقیقا همین الان نمیتونم حتی ی فیلم درسی رو باز کنم!,"0. 0. 0. 0. 0. 0. 0. 0. 1. 1.
"
علی خامنه‌ای و بچه هاش حروم زاده هستند، یه روزی اعدام میشند، قبل از اینکه انگلستان بهشون پناهندگی بده و بتونند فرار کنند.... #علی_خامنه_ای_قاتل,"0. 0. 0. 0. 0. 0. 0. 0. 1. 1.
"
آخی سافت گردیدم ✨😍 حق داشته خب خیلی ممنون که گفتی آرمی مهربون💜,"0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
"
فقط شاهزاده رضا پهلوی تمام🌹❤️🙏,"0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
"
چت کردن افرادی که مثل شما در همون منطقه درگیر ترافیک سنگین هستن که بهتره میوت کنیم فرمایشات گوهر بارشون رو,"0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
"
بچه های اتاق فرار راهبه مایه گذاشتن برامون و یه تیکه هایی ازفیلم دوربین هارو بهمون دادن...دارم از خنده داره میشم 🤣🤣🤣,"0. 1. 0. 1. 0. 0. 0. 0. 0. 0.
"
یکی از قشنگیای بهار بوی یاس و بهارنارنجِ پیچیده تو کوچه‌هاس ~~,"0. 1. 0. 0. 1. 0. 0. 0. 0. 0.
"
امشب ی کلمه جدیدیاد گرفتم هعی تکرار میکنم بد بیچ بدبیچ,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
یاد_ایام#در حاشیه اردوی کشوری اعضای فعال کانون پرورش فکری کودکان و نوجوانان همراه با دو شاعر عزیز و گرامی ، استاد اسدالله شعبانی و استاد جعفر ابراهیمی در مازندران، اردوگاه دلگشاپ ن: در این اردو من به عنوان مربی تعدادی از اعضای فعال کانون استان بوشهر را همراهی می‌کردم.,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
جواد بنظرت کی ریچ کیده؟,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
تعداد طرفدارای مشایی چقدره؟,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
یکی باشه که بیاد تو بغلت بکوبیش به در و دروار و فقط ...از لباش لذت ببری .,"0. 0. 1. 0. 0. 0. 0. 0. 0. 0.
"
دلم تنگ شده بود براش,"0. 0. 0. 1. 0. 0. 1. 0. 0. 0.
"
وقتی دورم خلوت میشه تازه میفهمم که چقدر تنهام و احساس ناراحتی شدیدی می کنم‌.,"0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
"
یادت باشه مشکلات هم تاریخ انقضا دارن...پس هر وقت عرصه بهت تنگ شد،این جمله رو زیاد تکرار کن: این نیز میگذرد...,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
دوازده فروردین، بهار انقلاب ما و روز شکفتن گل اسلام بر شاخسار زمان و نویدبخش تجلی حق و حاکمیت نظام اسلامی مبارک باد..#نظام_مردم,"0. 1. 0. 1. 0. 0. 0. 0. 0. 0.
"
کاريکاتور #iranazad #4shanbesoori #neda #bahmansabz #ashurakhonin #iranelection #noroozsabz,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
هم هشتگ، هم هشتگ، هم هشتگ :|,"1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
"
❌اگر ماهواره های دشمن می توانند در این روستای کپری در بلوچستان ایران نفوذ کنند، چرا کمک و توسعه و پیشرفت شما به این روستا نمی‌تواند نفوذ کند؟!,"0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
"
خیلی مشتاق شنیدن ترانه رپر انقلابی هستم 😄خدایی چیو می خواد سر هم کنه وای 😂خیلی باحاله چه رویشی کرده انقلاب ...🤦🏻‍♀️😬,"0. 0. 0. 1. 1. 0. 0. 0. 0. 0.
"
ایجااانمفدای تو❤نه عزیزم اصلا این دنیا ارزش غصه خوردنو ناراحتی رو نداره😀,"0. 0. 1. 0. 0. 0. 0. 0. 0. 0.
"
اینجاست که میگن: چو عضوی به درد آورد روزگار....دگر عضوها را نماند قرار.زیاد که فکر میکنی مچ دستت را نماند قرار,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
منم همینم شاید حاملم😂,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
دیروز برای اولین بار ولی عشق بن بستی رو انتخاب کردم,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
خدا میدونه چقدر خندیدم بعد اون بدحالیتنکیو😂♥️,"0. 1. 0. 0. 0. 0. 0. 0. 0. 0.
"
من الان آواتارت و دیدم حال لحظه ام خوب شد 🥳🤤😍😍,"0. 1. 0. 0. 0. 0. 0. 0. 0. 0.
"
#حاجی این «پیر سگ ولایت» سرفه‌ای کرد و گلویش را صاف کرد و با صدایی رسا به وکیلش گفت: باید کاری بکنیم تا امت، نرمش مقام عظما را نادیده بگیرد و کسی به روی خودش هم نیاورد.فعلا اصلح انست همگی طوری وانمود کنیم که گویی باز فریب خورده‌ایم و ظاهر امورات را باور کرده‌ایم. شتر دیدی، ندیدی,"0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
"
جالب است بدانید سیلوستر استالونه، بازیگر سر شناس هالیوودی، تا قبل از سیزده سالگی تنها دوازده سال داشت.#فکت,"0. 0. 0. 0. 0. 1. 0. 0. 0. 0.
"
پس همون کلمه زننده لایق این فضاست,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
آره خیلی زیاد من میشناسم,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
من واقعا بدی‌ای که بهم میشه رو نمیتونم فراموش کنم اما به روی خودم نمیارم🤦🏻‍♀️,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
«یوم الله ۱۲ فروردین»؛ یادآور حماسه پرافتخار حضور مردم ایران در صحنه انتخابات است، حماسه‌ای که در آن میلیون‌ها ایرانی از اقشار مختلف جامعه، یکپارچه بر علیه طاغوتیان صف کشیدند و به نظام جمهوری اسلامی «آری» گفتند.#نظام_مردم #جمهوري_اسلامي,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
حک شده اسم منو تو ...,"0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
"
